id,name,site,phone,full_address,street,city,postal_code,state,reviews,working_hours,imported_at,dup_key,quality_score,is_primary,latitude,longitude,coord,has upick,upick offerings,upick source
1,Mercier Orchards,https://mercier-orchards.com/,706-632-3411,"8660 Blue Ridge Dr, Blue Ridge, GA 30513",8660 Blue Ridge Dr,Blue Ridge,30513,Georgia,8455,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""8AM-5:30PM"", ""Saturday"": ""8AM-5:30PM"", ""Sunday"": ""8AM-5:30PM""}",2025-08-23 16:58:32.737089+00,mercier orchards|blue ridge|georgia,8525,TRUE,34.8864191,-84.3408364,0101000020E610000054D27943D01555C05E865A2E76714140,Yes,strawberries; blueberries; blackberries; apples; peaches,https://mercier-orchards.com/u-pick/ ; https://www.gilmerchamber.com/blog/explore-the-ellijays/orchard-guide-mercier-orchards/
2,Linvilla Orchards,http://www.linvilla.com/,610-876-7116,"137 W Knowlton Rd, Media, PA 19063",137 W Knowlton Rd,Media,19063,Pennsylvania,5717,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""8AM-6PM""}",2025-08-23 16:58:32.737089+00,linvilla orchards|media|pennsylvania,5787,TRUE,39.8837311,-75.4136024,0101000020E61000000463337678DA52C0A37AC6191EF14340,Yes,apples; strawberries; peaches; pumpkins; flowers (seasonal),https://www.linvilla.com/pick-your-own
3,Shady Brook Farm,https://shadybrookfarm.com/?utm_source=google,215-968-1670,"931 Stony Hill Rd, Yardley, PA 19067",931 Stony Hill Rd,Yardley,19067,Pennsylvania,5478,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-10PM"", ""Thursday"": ""9AM-10PM"", ""Friday"": ""9AM-10PM"", ""Saturday"": ""9AM-10PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,shady brook farm|yardley|pennsylvania,5548,TRUE,40.2281397,-74.8852308,0101000020E61000005DDA159FA7B852C0AA3583AE331D4440,Yes,strawberries; apples; pumpkins; sunflowers; vegetables; flowers,https://shadybrookfarm.com/pages/pick-your-own ; https://shadybrookfarm.com/collections/pick-your-own
4,Southern Belle Farm,http://www.southernbellefarm.com/,770-288-2582,"1658 Turner Church Rd, McDonough, GA 30252",1658 Turner Church Rd,McDonough,30252,Georgia,5335,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""Closed""}",2025-08-23 16:58:32.737089+00,southern belle farm|mcdonough|georgia,5405,TRUE,33.4713397,-84.0840144,0101000020E61000002819EF7D600555C03A67FADB54BC4040,Yes,strawberries; peaches; blueberries; blackberries; flowers; muscadines; scuppernongs (seasonal),https://www.southernbellefarm.com/summer/ ; https://www.southernbellefarm.com/spring/
5,Lane Southern Orchards,https://www.lanesouthernorchards.com/,800-277-3224,"50 Lane Rd, Fort Valley, GA 31030",50 Lane Rd,Fort Valley,31030,Georgia,5282,"{""Monday"": ""9AM-7PM"", ""Tuesday"": ""9AM-7PM"", ""Wednesday"": ""9AM-7PM"", ""Thursday"": ""9AM-7PM"", ""Friday"": ""9AM-7PM"", ""Saturday"": ""9AM-7PM"", ""Sunday"": ""9AM-7PM""}",2025-08-23 16:58:32.737089+00,lane southern orchards|fort valley|georgia,5352,TRUE,32.5555556,-83.8275,0101000020E6100000295C8FC2F5F454C0098E26721C474040,Yes,strawberries,https://lanesouthernorchards.com/pages/spring-events ; https://exploregeorgia.org/things-to-do/article/where-to-get-fresh-georgia-peaches ; https://lanesouthernorchards.com/
7,White Post Farms of Melville,http://www.whitepostfarms.com/,631-351-9373,"250 Old Country Rd, Melville, NY 11747",250 Old Country Rd,Melville,11747,New York,4979,"{""Monday"": ""10AM-5PM"", ""Tuesday"": ""10AM-5PM"", ""Wednesday"": ""10AM-5PM"", ""Thursday"": ""10AM-5PM"", ""Friday"": ""10AM-5PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""10AM-5PM""}",2025-08-23 16:58:32.737089+00,white post farms of melville|melville|new york,5049,TRUE,40.7952468,-73.4070754,0101000020E61000006480FA850D5A52C0D41FABA5CA654440,Yes,pumpkins (fall festival),https://www.whitepostfarms.net/white-post-farms-fall-farm-festival/
8,Underwood Family Farms,http://www.underwoodfamilyfarms.com/,805-529-3690,"3370 Sunset Valley Rd, Moorpark, CA 93021",3370 Sunset Valley Rd,Moorpark,93021,California,4554,"{""Sunday"": ""9AM-6PM"", ""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,underwood family farms|moorpark|california,4624,TRUE,34.2553023,-118.8516425,0101000020E61000008E588B4F81B65DC0FA8BEABEAD204140,Yes,berries; vegetables; citrus; flowers (varies by season),https://visitcamarillo.com/business/farms-agrotourism/somis-farm-center/ ; https://underwoodfamilyfarms.com/pick-your-own-somis/
9,Alstede Farms,http://alstedefarms.com/,908-879-7189,"1 Alstede Farms Ln, Chester, NJ 07930",1 Alstede Farms Ln,Chester,7930,New Jersey,4353,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,alstede farms|chester|new jersey,4423,TRUE,40.7789241,-74.7137164,0101000020E61000009B278D87ADAD52C07AC8EFC8B3634440,Yes,apples; berries; peaches; tomatoes; pumpkins; flowers (seasonal),https://www.alstedefarms.com/pick-your-own-2/ ; https://www.alstedefarms.com/can-pick-today/
10,Hershberger's Farm and Bakery,https://hershbergersfarmandbakery.com/,330-674-6096,"5452 OH-557, Millersburg, OH 44654",5452 OH-557,Millersburg,44654,Ohio,4259,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8AM-5PM"", ""Sunday"": ""Closed""}",2025-08-23 16:58:32.737089+00,hershberger's farm and bakery|millersburg|ohio,4329,TRUE,40.5449272,-81.8233663,0101000020E610000039C89008B27454C0B559AB2CC0454440,Yes,pumpkins,https://www.discoverholmescounty.com/hershbergers-farm-bakery/ ; https://hershbergersfarmandbakery.com/
11,Carter Mountain Orchard and Country Store,https://cartermountainorchard.com/,434-977-1833,"1435 Carters Mountain Trail, Charlottesville, VA 22902",1435 Carters Mountain Trail,Charlottesville,22902,Virginia,4178,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,carter mountain orchard and country store|charlottesville|virginia,4248,TRUE,37.9913372,-78.4720589,0101000020E610000049528836369E53C073A72A23E4FE4240,Yes,peaches; apples,https://chilesfamilyorchards.com/carter-mountain-orchard/fruit/ ; https://chilesfamilyorchards.com/carter-mountain-orchard/visit/
